,Timestamp,System ON,System ON Timestamps,System OFF Timestamps,Temperature (°C),Solar Panels Energy Output (W),Power Consumption (kW),Energy Stored in Batteries (kWh),Inverter Efficiency (%),System Load (kW),System Fault Alerts,Voltage (V),Current (A),Power Factor,Dust and Dirt Accumulation (g/m²),Battery Low Flag,Battery Full Flag,Customer Profile,User Coordinates,Solar Panels Type,Solar Panels Configuration,Depth of Discharge,Battery Capacity (Wh),Inverter Capacity (kW),Battery Technology,Solar Irradiance (W/m²)
207,06/09/2024 01:45,False,,06/09/2024 01:45,21.0,0.0,0.0,0.270680369,90.0,0.0,False,220.0,0.0,0.9,0.104,True,False,Residential,"10.525053,7.417351",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
209,06/09/2024 02:00,False,,06/09/2024 02:00,21.0,0.0,0.0,0.270680369,90.0,0.0,False,220.0,0.0,0.9,0.105,True,False,Residential,"10.525053,7.417352",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
211,06/09/2024 02:15,False,,06/09/2024 02:15,21.0,0.0,0.0,0.270680369,90.0,0.0,False,220.0,0.0,0.9,0.106,True,False,Residential,"10.525053,7.417353",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
213,06/09/2024 02:30,False,,06/09/2024 02:30,21.0,0.0,0.0,0.270680369,90.0,0.0,False,220.0,0.0,0.9,0.107,True,False,Residential,"10.525053,7.417354",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
215,06/09/2024 02:45,False,,06/09/2024 02:45,21.0,0.0,0.0,0.270680369,90.0,0.0,False,220.0,0.0,0.9,0.108,True,False,Residential,"10.525053,7.417355",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
217,06/09/2024 03:00,False,,06/09/2024 03:00,21.44849539,0.0,0.0,0.270680369,90.0,0.0,False,220.0,0.0,0.9,0.109,True,False,Residential,"10.525053,7.417356",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
219,06/09/2024 03:15,False,,06/09/2024 03:15,21.99866248,0.0,0.0,0.270680369,90.0,0.0,False,220.0,0.0,0.9,0.11,True,False,Residential,"10.525053,7.417357",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
221,06/09/2024 03:30,False,,06/09/2024 03:30,21.57089143,0.0,0.0,0.270680369,90.0,0.0,False,220.0,0.0,0.9,0.111,True,False,Residential,"10.525053,7.417358",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
223,06/09/2024 03:45,False,,06/09/2024 03:45,21.05553789,0.0,0.0,0.270680369,90.0,0.0,False,220.0,0.0,0.9,0.112,True,False,Residential,"10.525053,7.417359",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
225,06/09/2024 04:00,False,,06/09/2024 04:00,21.00266992,0.0,0.0,0.270680369,90.0,0.0,False,220.0,0.0,0.9,0.113,True,False,Residential,"10.525053,7.417360",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
227,06/09/2024 04:15,False,,06/09/2024 04:15,21.23659343,0.0,0.0,0.270680369,90.0,0.0,False,220.0,0.0,0.9,0.114,True,False,Residential,"10.525053,7.417361",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
229,06/09/2024 04:30,False,,06/09/2024 04:30,21.05241787,0.0,0.0,0.270680369,90.0,0.0,False,220.0,0.0,0.9,0.115,True,False,Residential,"10.525053,7.417362",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
231,06/09/2024 04:45,False,,06/09/2024 04:45,21.0,0.0,0.0,0.270680369,90.0,0.0,False,220.0,0.0,0.9,0.116,True,False,Residential,"10.525053,7.417363",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
233,06/09/2024 05:00,False,,06/09/2024 05:00,21.0,0.0,0.0,0.270680369,90.0,0.0,False,220.0,0.0,0.9,0.117,True,False,Residential,"10.525053,7.417364",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
235,06/09/2024 05:15,False,,06/09/2024 05:15,21.30344709,0.0,0.0,0.270680369,90.0,0.0,False,220.0,0.0,0.9,0.118,True,False,Residential,"10.525053,7.417365",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
237,06/09/2024 05:30,False,,06/09/2024 05:30,21.40927273,0.0,0.0,0.270680369,90.0,0.0,False,220.0,0.0,0.9,0.119,True,False,Residential,"10.525053,7.417366",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
239,06/09/2024 05:45,False,,06/09/2024 05:45,21.0,0.0,0.0,0.270680369,90.0,0.0,False,220.0,0.0,0.9,0.12,True,False,Residential,"10.525053,7.417367",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
241,06/09/2024 06:00,False,,06/09/2024 06:00,21.62664684,0.0,0.0,0.270680369,90.0,0.0,False,220.0,0.0,0.9,0.121,True,False,Residential,"10.525053,7.417368",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
243,06/09/2024 06:15,False,,06/09/2024 06:15,22.05826489,19.62093877,0.0,0.270680369,90.0,0.0,False,220.0,0.0,0.9,0.122,True,False,Residential,"10.525053,7.417369",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
245,06/09/2024 06:30,False,,06/09/2024 06:30,22.21940642,39.15785767,0.0,0.275585604,90.0,0.0,False,220.0,0.0,0.9,0.123,True,False,Residential,"10.525053,7.417370",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
247,06/09/2024 06:45,False,,06/09/2024 06:45,21.65084775,58.5270966,0.0,0.285375069,90.0,0.0,False,220.0,0.0,0.9,0.124,False,False,Residential,"10.525053,7.417371",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
249,06/09/2024 07:00,True,06/09/2024 07:00,,22.48378488,77.64571353,0.552986563,0.300006843,90.0,0.552986563,False,220.0,2.513575287,0.9,0.125,True,False,Residential,"10.525053,7.417372",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
251,06/09/2024 07:15,False,,06/09/2024 07:15,21.82456362,96.43183959,0.0,0.2,90.0,0.0,False,220.0,0.0,0.9,0.126,True,False,Residential,"10.525053,7.417373",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
253,06/09/2024 07:30,False,,06/09/2024 07:30,21.00878751,114.8050297,0.0,0.22410796,90.0,0.0,False,220.0,0.0,0.9,0.127,True,False,Residential,"10.525053,7.417374",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
255,06/09/2024 07:45,False,,06/09/2024 07:45,21.0,132.6866071,0.0,0.252809217,90.0,0.0,False,220.0,0.0,0.9,0.128,True,False,Residential,"10.525053,7.417375",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
257,06/09/2024 08:00,False,,06/09/2024 08:00,21.77555658,150.0,0.0,0.285980869,90.0,0.0,False,220.0,0.0,0.9,0.129,False,False,Residential,"10.525053,7.417376",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
259,06/09/2024 08:15,True,06/09/2024 08:15,,21.07670026,166.6710699,0.427568015,0.323480869,90.0,0.427568015,False,220.0,1.943490975,0.9,0.13,True,False,Residential,"10.525053,7.417377",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
261,06/09/2024 08:30,False,,06/09/2024 08:30,22.04383983,182.6284287,0.0,0.258256633,90.0,0.0,False,220.0,0.0,0.9,0.131,False,False,Residential,"10.525053,7.417378",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
263,06/09/2024 08:45,True,06/09/2024 08:45,,21.69001943,197.8037445,0.305439314,0.30391374,90.0,0.305439314,False,220.0,1.388360516,0.9,0.132,True,False,Residential,"10.525053,7.417379",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
265,06/09/2024 09:00,False,,06/09/2024 09:00,22.06929719,212.1320344,0.0,0.277004848,90.0,0.0,False,220.0,0.0,0.9,0.133,False,False,Residential,"10.525053,7.417380",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
267,06/09/2024 09:15,True,06/09/2024 09:15,,21.47038424,225.5519422,0.532653504,0.330037856,90.0,0.532653504,False,220.0,2.421152289,0.9,0.134,True,False,Residential,"10.525053,7.417381",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
269,06/09/2024 09:30,False,,06/09/2024 09:30,21.0,238.0060021,0.0,0.253262466,90.0,0.0,False,220.0,0.0,0.9,0.135,False,False,Residential,"10.525053,7.417382",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
271,06/09/2024 09:45,True,06/09/2024 09:45,,21.7994387,249.4408837,0.377894445,0.312763967,90.0,0.377894445,False,220.0,1.717702024,0.9,0.136,True,False,Residential,"10.525053,7.417383",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
273,06/09/2024 10:00,False,,06/09/2024 10:00,22.17619946,259.8076211,0.0,0.280650576,90.0,0.0,False,220.0,0.0,0.9,0.137,False,False,Residential,"10.525053,7.417384",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
275,06/09/2024 10:15,True,06/09/2024 10:15,,22.73238416,269.0618225,0.475121871,0.345602482,90.0,0.475121871,False,220.0,2.159644869,0.9,0.138,True,False,Residential,"10.525053,7.417385",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
277,06/09/2024 10:30,False,,06/09/2024 10:30,23.5764577,277.1638598,0.0,0.294087469,90.0,0.0,False,220.0,0.0,0.9,0.139,False,False,Residential,"10.525053,7.417386",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
279,06/09/2024 10:45,True,06/09/2024 10:45,,23.34927367,284.0790388,0.314708962,0.363378434,90.0,0.314708962,False,220.0,1.430495282,0.9,0.14,False,False,Residential,"10.525053,7.417387",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
281,06/09/2024 11:00,True,06/09/2024 11:00,,22.42251324,289.7777479,0.391585066,0.355720953,90.0,0.391585066,False,220.0,1.77993212,0.9,0.141,False,False,Residential,"10.525053,7.417388",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
283,06/09/2024 11:15,True,06/09/2024 11:15,,22.04731456,294.2355841,0.364138004,0.330269124,90.0,0.364138004,False,220.0,1.655172746,0.9,0.142,False,False,Residential,"10.525053,7.417389",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
285,06/09/2024 11:30,True,06/09/2024 11:30,,21.1699742,297.4334584,0.362605707,0.312793519,90.0,0.362605707,False,220.0,1.648207759,0.9,0.143,True,False,Residential,"10.525053,7.417390",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
287,06/09/2024 11:45,False,,06/09/2024 11:45,22.15955108,299.357677,0.0,0.296500457,90.0,0.0,False,220.0,0.0,0.9,0.144,False,False,Residential,"10.525053,7.417391",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
289,06/09/2024 12:00,True,06/09/2024 12:00,,21.17927377,300.0,0.242108186,0.371339876,90.0,0.242108186,False,220.0,1.100491756,0.9,0.145,False,False,Residential,"10.525053,7.417392",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
291,06/09/2024 12:15,True,06/09/2024 12:15,,21.61210789,299.357677,0.462156623,0.385812829,90.0,0.462156623,False,220.0,2.100711925,0.9,0.146,False,False,Residential,"10.525053,7.417393",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
293,06/09/2024 12:30,True,06/09/2024 12:30,,21.0,297.4334584,0.264896028,0.345113093,90.0,0.264896028,False,220.0,1.204072852,0.9,0.147,False,False,Residential,"10.525053,7.417394",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
295,06/09/2024 12:45,True,06/09/2024 12:45,,21.24480718,294.2355841,0.37478117,0.35324745,90.0,0.37478117,False,220.0,1.703550773,0.9,0.148,False,False,Residential,"10.525053,7.417395",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
297,06/09/2024 13:00,True,06/09/2024 13:00,,21.56671471,289.7777479,0.374199343,0.333111054,90.0,0.374199343,False,220.0,1.700906102,0.9,0.149,False,False,Residential,"10.525053,7.417396",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
299,06/09/2024 13:15,True,06/09/2024 13:15,,21.96149348,284.0790388,0.210050732,0.312005655,90.0,0.210050732,False,220.0,0.954776057,0.9,0.15,False,False,Residential,"10.525053,7.417397",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
301,06/09/2024 13:30,True,06/09/2024 13:30,,21.31563225,277.1638598,0.463079622,0.330512732,90.0,0.463079622,False,220.0,2.104907371,0.9,0.151,True,False,Residential,"10.525053,7.417398",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
303,06/09/2024 13:45,False,,06/09/2024 13:45,21.0,269.0618225,0.0,0.284033791,90.0,0.0,False,220.0,0.0,0.9,0.152,False,False,Residential,"10.525053,7.417399",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
305,06/09/2024 14:00,True,06/09/2024 14:00,,21.86430777,259.8076211,0.348462177,0.351299247,90.0,0.348462177,False,220.0,1.583918985,0.9,0.153,False,False,Residential,"10.525053,7.417400",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
307,06/09/2024 14:15,True,06/09/2024 14:15,,21.03261472,249.4408837,0.459785173,0.329135608,90.0,0.459785173,False,220.0,2.089932604,0.9,0.154,True,False,Residential,"10.525053,7.417401",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
309,06/09/2024 14:30,False,,06/09/2024 14:30,21.36347553,238.0060021,0.0,0.276549536,90.0,0.0,False,220.0,0.0,0.9,0.155,False,False,Residential,"10.525053,7.417402",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
311,06/09/2024 14:45,True,06/09/2024 14:45,,21.0,225.5519422,0.484088163,0.336051036,90.0,0.484088163,False,220.0,2.200400741,0.9,0.156,True,False,Residential,"10.525053,7.417403",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
313,06/09/2024 15:00,False,,06/09/2024 15:00,21.0,212.1320344,0.0,0.271416981,90.0,0.0,False,220.0,0.0,0.9,0.157,False,False,Residential,"10.525053,7.417404",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
315,06/09/2024 15:15,True,06/09/2024 15:15,,21.0,197.8037445,0.21065828,0.32444999,90.0,0.21065828,False,220.0,0.957537638,0.9,0.158,False,False,Residential,"10.525053,7.417405",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
317,06/09/2024 15:30,True,06/09/2024 15:30,,21.31058699,182.6284287,0.538592713,0.321236356,90.0,0.538592713,False,220.0,2.448148694,0.9,0.159,True,False,Residential,"10.525053,7.417406",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
319,06/09/2024 15:45,False,,06/09/2024 15:45,21.0,166.6710699,0.0,0.232245285,90.0,0.0,False,220.0,0.0,0.9,0.16,True,False,Residential,"10.525053,7.417407",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
321,06/09/2024 16:00,False,,06/09/2024 16:00,21.0,150.0,0.0,0.273913052,90.0,0.0,False,220.0,0.0,0.9,0.161,False,False,Residential,"10.525053,7.417408",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
323,06/09/2024 16:15,True,06/09/2024 16:15,,21.0,132.6866071,0.401859124,0.311413052,90.0,0.401859124,False,220.0,1.826632382,0.9,0.162,True,False,Residential,"10.525053,7.417409",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
325,06/09/2024 16:30,False,,06/09/2024 16:30,21.09182914,114.8050297,0.0,0.244119923,90.0,0.0,False,220.0,0.0,0.9,0.163,True,False,Residential,"10.525053,7.417410",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
327,06/09/2024 16:45,False,,06/09/2024 16:45,21.05275721,96.43183959,0.0,0.27282118,90.0,0.0,False,220.0,0.0,0.9,0.164,True,False,Residential,"10.525053,7.417411",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
329,06/09/2024 17:00,False,,06/09/2024 17:00,21.77810458,77.64571353,0.0,0.29692914,90.0,0.0,False,220.0,0.0,0.9,0.165,False,False,Residential,"10.525053,7.417412",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
331,06/09/2024 17:15,True,06/09/2024 17:15,,22.58285539,58.5270966,0.332074692,0.316340569,90.0,0.332074692,False,220.0,1.50943042,0.9,0.166,True,False,Residential,"10.525053,7.417413",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
333,06/09/2024 17:30,False,,06/09/2024 17:30,21.79433372,39.15785767,0.0,0.24795367,90.0,0.0,False,220.0,0.0,0.9,0.167,True,False,Residential,"10.525053,7.417414",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
335,06/09/2024 17:45,False,,06/09/2024 17:45,22.78317581,19.62093877,0.0,0.257743134,90.0,0.0,False,220.0,0.0,0.9,0.168,True,False,Residential,"10.525053,7.417415",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
337,06/09/2024 18:00,False,,06/09/2024 18:00,22.01982861,3.67e-14,0.0,0.262648369,90.0,0.0,False,220.0,0.0,0.9,0.169,True,False,Residential,"10.525053,7.417416",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
339,06/09/2024 18:15,False,,06/09/2024 18:15,22.23374361,0.0,0.0,0.262648369,90.0,0.0,False,220.0,0.0,0.9,0.17,True,False,Residential,"10.525053,7.417417",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
341,06/09/2024 18:30,False,,06/09/2024 18:30,22.39161905,0.0,0.0,0.262648369,90.0,0.0,False,220.0,0.0,0.9,0.171,True,False,Residential,"10.525053,7.417418",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
343,06/09/2024 18:45,False,,06/09/2024 18:45,22.29201594,0.0,0.0,0.262648369,90.0,0.0,False,220.0,0.0,0.9,0.172,True,False,Residential,"10.525053,7.417419",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
345,06/09/2024 19:00,False,,06/09/2024 19:00,21.84366376,0.0,0.0,0.262648369,90.0,0.0,False,220.0,0.0,0.9,0.173,True,False,Residential,"10.525053,7.417420",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
347,06/09/2024 19:15,False,,06/09/2024 19:15,21.47322429,0.0,0.0,0.262648369,90.0,0.0,False,220.0,0.0,0.9,0.174,True,False,Residential,"10.525053,7.417421",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
349,06/09/2024 19:30,False,,06/09/2024 19:30,21.48304238,0.0,0.0,0.262648369,90.0,0.0,False,220.0,0.0,0.9,0.175,True,False,Residential,"10.525053,7.417422",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
351,06/09/2024 19:45,False,,06/09/2024 19:45,21.15464147,0.0,0.0,0.262648369,90.0,0.0,False,220.0,0.0,0.9,0.176,True,False,Residential,"10.525053,7.417423",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
353,06/09/2024 20:00,False,,06/09/2024 20:00,21.07594419,0.0,0.0,0.262648369,90.0,0.0,False,220.0,0.0,0.9,0.177,True,False,Residential,"10.525053,7.417424",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
355,06/09/2024 20:15,False,,06/09/2024 20:15,21.12544991,0.0,0.0,0.262648369,90.0,0.0,False,220.0,0.0,0.9,0.178,True,False,Residential,"10.525053,7.417425",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
357,06/09/2024 20:30,False,,06/09/2024 20:30,21.648376,0.0,0.0,0.262648369,90.0,0.0,False,220.0,0.0,0.9,0.179,True,False,Residential,"10.525053,7.417426",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
359,06/09/2024 20:45,False,,06/09/2024 20:45,21.79206952,0.0,0.0,0.262648369,90.0,0.0,False,220.0,0.0,0.9,0.18,True,False,Residential,"10.525053,7.417427",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
361,06/09/2024 21:00,False,,06/09/2024 21:00,21.88417095,0.0,0.0,0.262648369,90.0,0.0,False,220.0,0.0,0.9,0.181,True,False,Residential,"10.525053,7.417428",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
363,06/09/2024 21:15,False,,06/09/2024 21:15,22.29773368,0.0,0.0,0.262648369,90.0,0.0,False,220.0,0.0,0.9,0.182,True,False,Residential,"10.525053,7.417429",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
365,06/09/2024 21:30,False,,06/09/2024 21:30,21.43073345,0.0,0.0,0.262648369,90.0,0.0,False,220.0,0.0,0.9,0.183,True,False,Residential,"10.525053,7.417430",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
367,06/09/2024 21:45,False,,06/09/2024 21:45,21.38867818,0.0,0.0,0.262648369,90.0,0.0,False,220.0,0.0,0.9,0.184,True,False,Residential,"10.525053,7.417431",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
369,06/09/2024 22:00,False,,06/09/2024 22:00,21.62871138,0.0,0.0,0.262648369,90.0,0.0,False,220.0,0.0,0.9,0.185,True,False,Residential,"10.525053,7.417432",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
371,06/09/2024 22:15,False,,06/09/2024 22:15,21.733302,0.0,0.0,0.262648369,90.0,0.0,False,220.0,0.0,0.9,0.186,True,False,Residential,"10.525053,7.417433",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
373,06/09/2024 22:30,False,,06/09/2024 22:30,21.13343016,0.0,0.0,0.262648369,90.0,0.0,False,220.0,0.0,0.9,0.187,True,False,Residential,"10.525053,7.417434",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
375,06/09/2024 22:45,False,,06/09/2024 22:45,21.04848248,0.0,0.0,0.262648369,90.0,0.0,False,220.0,0.0,0.9,0.188,True,False,Residential,"10.525053,7.417435",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
377,06/09/2024 23:00,False,,06/09/2024 23:00,21.08446039,0.0,0.0,0.262648369,90.0,0.0,False,220.0,0.0,0.9,0.189,True,False,Residential,"10.525053,7.417436",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
379,06/09/2024 23:15,False,,06/09/2024 23:15,21.0,0.0,0.0,0.262648369,90.0,0.0,False,220.0,0.0,0.9,0.19,True,False,Residential,"10.525053,7.417437",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
381,06/09/2024 23:30,False,,06/09/2024 23:30,21.0,0.0,0.0,0.262648369,90.0,0.0,False,220.0,0.0,0.9,0.191,True,False,Residential,"10.525053,7.417438",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
383,06/09/2024 23:45,False,,06/09/2024 23:45,21.16663995,0.0,0.0,0.262648369,90.0,0.0,False,220.0,0.0,0.9,0.192,True,False,Residential,"10.525053,7.417439",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
385,07/09/2024 00:00,False,,07/09/2024 00:00,21.81196974,0.0,0.0,0.262648369,90.0,0.0,False,220.0,0.0,0.9,0.193,True,False,Residential,"10.525053,7.417440",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
387,07/09/2024 00:15,False,,07/09/2024 00:15,21.0847541,0.0,0.0,0.262648369,90.0,0.0,False,220.0,0.0,0.9,0.194,True,False,Residential,"10.525053,7.417441",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
389,07/09/2024 00:30,False,,07/09/2024 00:30,21.0,0.0,0.0,0.262648369,90.0,0.0,False,220.0,0.0,0.9,0.195,True,False,Residential,"10.525053,7.417442",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
391,07/09/2024 00:45,False,,07/09/2024 00:45,21.5491031,0.0,0.0,0.262648369,90.0,0.0,False,220.0,0.0,0.9,0.196,True,False,Residential,"10.525053,7.417443",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
393,07/09/2024 01:00,False,,07/09/2024 01:00,21.37479981,0.0,0.0,0.262648369,90.0,0.0,False,220.0,0.0,0.9,0.197,True,False,Residential,"10.525053,7.417444",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
395,07/09/2024 01:15,False,,07/09/2024 01:15,21.0,0.0,0.0,0.262648369,90.0,0.0,False,220.0,0.0,0.9,0.198,True,False,Residential,"10.525053,7.417445",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
397,07/09/2024 01:30,False,,07/09/2024 01:30,21.45825497,0.0,0.0,0.262648369,90.0,0.0,False,220.0,0.0,0.9,0.199,True,False,Residential,"10.525053,7.417446",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
399,07/09/2024 01:45,False,,07/09/2024 01:45,21.0,0.0,0.0,0.262648369,90.0,0.0,False,220.0,0.0,0.9,0.2,True,False,Residential,"10.525053,7.417447",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
401,07/09/2024 02:00,False,,07/09/2024 02:00,21.86827547,0.0,0.0,0.262648369,90.0,0.0,False,220.0,0.0,0.9,0.201,True,False,Residential,"10.525053,7.417448",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
403,07/09/2024 02:15,False,,07/09/2024 02:15,21.60135453,0.0,0.0,0.262648369,90.0,0.0,False,220.0,0.0,0.9,0.202,True,False,Residential,"10.525053,7.417449",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
405,07/09/2024 02:30,False,,07/09/2024 02:30,21.6369537,0.0,0.0,0.262648369,90.0,0.0,False,220.0,0.0,0.9,0.203,True,False,Residential,"10.525053,7.417450",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
407,07/09/2024 02:45,False,,07/09/2024 02:45,21.75209023,0.0,0.0,0.262648369,90.0,0.0,False,220.0,0.0,0.9,0.204,True,False,Residential,"10.525053,7.417451",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
409,07/09/2024 03:00,False,,07/09/2024 03:00,22.02344644,0.0,0.0,0.262648369,90.0,0.0,False,220.0,0.0,0.9,0.205,True,False,Residential,"10.525053,7.417452",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
411,07/09/2024 03:15,False,,07/09/2024 03:15,22.1544375,0.0,0.0,0.262648369,90.0,0.0,False,220.0,0.0,0.9,0.206,True,False,Residential,"10.525053,7.417453",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
413,07/09/2024 03:30,False,,07/09/2024 03:30,22.54242783,0.0,0.0,0.262648369,90.0,0.0,False,220.0,0.0,0.9,0.207,True,False,Residential,"10.525053,7.417454",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
415,07/09/2024 03:45,False,,07/09/2024 03:45,22.50081528,0.0,0.0,0.262648369,90.0,0.0,False,220.0,0.0,0.9,0.208,True,False,Residential,"10.525053,7.417455",MonoCrystalline,1s2p,10%,1000.0,1.0,Lithium - Ion,
